# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Lite Edition
# File: /home/andrew/Documentos/Unifesp/Processador-AOC/teste.csv
# Generated on: Mon Feb  8 17:56:42 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
chave,Input,PIN_F15,7,B7_N0,PIN_F15,2.5 V,,,,,
dadosIN[7],Input,PIN_A14,7,B7_N0,PIN_A14,2.5 V,,,,,
dadosIN[6],Input,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
dadosIN[5],Input,PIN_B12,7,B7_N0,PIN_B12,2.5 V,,,,,
dadosIN[4],Input,PIN_A12,7,B7_N0,PIN_A12,2.5 V,,,,,
dadosIN[3],Input,PIN_C12,7,B7_N0,PIN_C12,2.5 V,,,,,
dadosIN[2],Input,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
dadosIN[1],Input,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
dadosIN[0],Input,PIN_C10,7,B7_N0,PIN_C10,2.5 V,,,,,
disp1[0],Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
disp1[1],Output,PIN_E15,7,B7_N0,PIN_E15,2.5 V,,,,,
disp1[2],Output,PIN_C15,7,B7_N0,PIN_C15,2.5 V,,,,,
disp1[3],Output,PIN_C16,7,B7_N0,PIN_C16,2.5 V,,,,,
disp1[4],Output,PIN_E16,7,B7_N0,PIN_E16,2.5 V,,,,,
disp1[5],Output,PIN_D17,7,B7_N0,PIN_D17,2.5 V,,,,,
disp1[6],Output,PIN_C17,7,B7_N0,PIN_C17,2.5 V,,,,,
disp2[0],Output,PIN_C18,7,B7_N0,PIN_C18,2.5 V,,,,,
disp2[1],Output,PIN_D18,6,B6_N0,PIN_D18,2.5 V,,,,,
disp2[2],Output,PIN_E18,6,B6_N0,PIN_E18,2.5 V,,,,,
disp2[3],Output,PIN_B16,7,B7_N0,PIN_B16,2.5 V,,,,,
disp2[4],Output,PIN_A17,7,B7_N0,PIN_A17,2.5 V,,,,,
disp2[5],Output,PIN_A18,7,B7_N0,PIN_A18,2.5 V,,,,,
disp2[6],Output,PIN_B17,7,B7_N0,PIN_B17,2.5 V,,,,,
disp3[0],Output,PIN_B20,6,B6_N0,PIN_B20,2.5 V,,,,,
disp3[1],Output,PIN_A20,7,B7_N0,PIN_A20,2.5 V,,,,,
disp3[2],Output,PIN_B19,7,B7_N0,PIN_B19,2.5 V,,,,,
disp3[3],Output,PIN_A21,6,B6_N0,PIN_A21,2.5 V,,,,,
disp3[4],Output,PIN_B21,6,B6_N0,PIN_B21,2.5 V,,,,,
disp3[5],Output,PIN_C22,6,B6_N0,PIN_C22,2.5 V,,,,,
disp3[6],Output,PIN_B22,6,B6_N0,PIN_B22,2.5 V,,,,,
disp4[0],Output,PIN_F21,6,B6_N0,PIN_F21,2.5 V,,,,,
disp4[1],Output,PIN_E22,6,B6_N0,PIN_E22,2.5 V,,,,,
disp4[2],Output,PIN_E21,6,B6_N0,PIN_E21,2.5 V,,,,,
disp4[3],Output,PIN_C19,7,B7_N0,PIN_C19,2.5 V,,,,,
disp4[4],Output,PIN_C20,6,B6_N0,PIN_C20,2.5 V,,,,,
disp4[5],Output,PIN_D19,6,B6_N0,PIN_D19,2.5 V,,,,,
disp4[6],Output,PIN_E17,6,B6_N0,PIN_E17,2.5 V,,,,,
disp5[0],Output,PIN_F18,6,B6_N0,PIN_F18,2.5 V,,,,,
disp5[1],Output,PIN_E20,6,B6_N0,PIN_E20,2.5 V,,,,,
disp5[2],Output,PIN_E19,6,B6_N0,PIN_E19,2.5 V,,,,,
disp5[3],Output,PIN_J18,6,B6_N0,PIN_J18,2.5 V,,,,,
disp5[4],Output,PIN_H19,6,B6_N0,PIN_H19,2.5 V,,,,,
disp5[5],Output,PIN_F19,6,B6_N0,PIN_F19,2.5 V,,,,,
disp5[6],Output,PIN_F20,6,B6_N0,PIN_F20,2.5 V,,,,,
estado[9],Output,PIN_B11,7,B7_N0,PIN_B11,2.5 V,,,,,
estado[8],Output,PIN_A11,7,B7_N0,PIN_A11,2.5 V,,,,,
estado[7],Output,PIN_D14,7,B7_N0,PIN_D14,2.5 V,,,,,
estado[6],Output,PIN_E14,7,B7_N0,PIN_E14,2.5 V,,,,,
estado[5],Output,PIN_C13,7,B7_N0,PIN_C13,2.5 V,,,,,
estado[4],Output,PIN_D13,7,B7_N0,PIN_D13,2.5 V,,,,,
estado[3],Output,PIN_B10,7,B7_N0,PIN_B10,2.5 V,,,,,
estado[2],Output,PIN_A10,7,B7_N0,PIN_A10,2.5 V,,,,,
estado[1],Output,PIN_A9,7,B7_N0,PIN_A9,2.5 V,,,,,
estado[0],Output,PIN_A8,7,B7_N0,PIN_A8,2.5 V,,,,,
realClk,Input,PIN_P11,3,B3_N0,PIN_P11,2.5 V,,,,,
